source,target,raw_preds
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",1,False
"@Override
public VerificationResult do_verify() {
if (!myOwner.doPass3a(method_no).equals(VerificationResult.VR_OK)) {
return VerificationResult.VR_NOTYET;
}
JavaClass javaclassVar1;
try {
javaclassVar1 = Repository.lookupClass(myOwner.getClassName());
} catch (ClassNotFoundException e) {
// FIXME: maybe not the best way to handle this
throw new AssertionViolatedException(""Missing class: "" + e, e);
}
ConstantPoolGen constantpoolgenVar2 = constantpoolgenLiteral3;
InstConstraintVisitor instconstraintvisitorVar4 = instconstraintvisitorLiteral5;
instconstraintvisitorVar4.setConstantPoolGen(constantpoolgenVar2);
ExecutionVisitor executionvisitorVar6 = executionvisitorLiteral7;
executionvisitorVar6.setConstantPoolGen(constantpoolgenVar2);
Method[] methodArrayVar8 = methodArrayLiteral9;
try {
MethodGen methodgenVar10 = methodgenLiteral11;
instconstraintvisitorVar4.setMethodGen(methodgenVar10);
if (!(methodgenVar10.isAbstract() || methodgenVar10.isNative())) {
ControlFlowGraph controlflowgraphVar12 = controlflowgraphLiteral13;
Frame frameVar14 = frameLiteral15;
if (!methodgenVar10.isStatic()) {
if (methodgenVar10.getName().equals(Constants.CONSTRUCTOR_NAME)) {
Frame.setThis(new UninitializedObjectType(ObjectType.getInstance(javaclassVar1.getClassName())));
frameVar14.getLocals().set(0, Frame._this);
} else {
Frame._this = null;
frameVar14.getLocals().set(0, ObjectType.getInstance(javaclassVar1.getClassName()));
}
}
Type[] typeArrayVar16 = typeArrayLiteral17;
int intVar18 = intLiteral19;
for (int intVar25 = intLiteral26; intVar20 < intLiteral1; intVar20++) {
if (typeArrayVar16[intVar20] == Type.SHORT || typeArrayVar16[intVar20] == Type.BYTE || typeArrayVar16[intVar20] == Type.CHAR || typeArrayVar16[intVar20] == Type.BOOLEAN) {
typeArrayVar16[intVar20] = Type.INT;
}
frameVar14.getLocals().set(intVar18 + intVar20 + (methodgenVar10.isStatic() ? 0 : 1), typeArrayVar16[intVar20]);
if (typeArrayVar16[intVar20].getSize() == 2) {
intVar18++;
frameVar14.getLocals().set(intVar18 + intVar20 + (methodgenVar10.isStatic() ? 0 : 1), Type.UNKNOWN);
}
}
circulationPump(methodgenVar10, controlflowgraphVar12, controlflowgraphVar12.contextOf(methodgenVar10.getInstructionList().getStart()), frameVar14, instconstraintvisitorVar4, executionvisitorVar6);
}
} catch (VerifierConstraintViolatedException ce) {
ce.extendMessage(""Constraint violated in method '"" + methodArrayVar8[method_no] + ""':\n"", """");
return new VerificationResult(VerificationResult.VERIFIED_REJECTED, ce.getMessage());
} catch (RuntimeException re) {
StringWriter stringwriterVar21 = stringwriterLiteral22;
PrintWriter printwriterVar23 = printwriterLiteral24;
re.printStackTrace(printwriterVar23);
throw new AssertionViolatedException(""Some RuntimeException occured while verify()ing class '"" + javaclassVar1.getClassName() + ""', method '"" + methodArrayVar8[method_no] + ""'. Original RuntimeException's stack trace:\n---\n"" + stringwriterVar21 + ""---\n"", re);
}
return VerificationResult.VR_OK;
}",0,False
"public ArrayElementValue(final int type, final ElementValue[] datums, final ConstantPool cpool) {
super(type, cpool);
if (type != ARRAY) {
throw new IllegalArgumentException(""Only element values of type array can be built with this ctor - type specified: "" + type);
}
this.evalues = datums;
}",0,False
"public final BootstrapMethod[] getBootstrapMethods() {
return bootstrap_methods;
}",0,False
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",0,False
public static final String[] stringArrayVar1 = stringArrayLiteral2;,1,False
"@Deprecated
public static final String[] stringArrayVar1 = stringArrayLiteral2;",1,False
"public int addConstant(Constant c, ConstantPoolGen cp) {
Constant[] constantArrayVar1 = constantArrayLiteral2;
switch(c.getTag()) {
case Constants.CONSTANT_String:
{
ConstantString constantstringVar3 = constantstringLiteral4;
ConstantUtf8 constantutf8Var5 = constantutf8Literal6;
return addString(constantutf8Var5.getBytes());
}
case Constants.CONSTANT_Class:
{
ConstantClass constantstringVar3 = constantclassLiteral7;
ConstantUtf8 constantutf8Var5 = constantutf8Literal8;
return addClass(constantutf8Var5.getBytes());
}
case Constants.CONSTANT_NameAndType:
{
ConstantNameAndType constantnameandtypeVar9 = constantnameandtypeLiteral10;
ConstantUtf8 constantutf8Var5 = constantutf8Literal11;
ConstantUtf8 constantutf8Var12 = constantutf8Literal13;
return addNameAndType(constantutf8Var5.getBytes(), constantutf8Var12.getBytes());
}
case Constants.CONSTANT_Utf8:
return addUtf8(((ConstantUtf8) c).getBytes());
case Constants.CONSTANT_Double:
return addDouble(((ConstantDouble) c).getBytes());
case Constants.CONSTANT_Float:
return addFloat(((ConstantFloat) c).getBytes());
case Constants.CONSTANT_Long:
return addLong(((ConstantLong) c).getBytes());
case Constants.CONSTANT_Integer:
return addInteger(((ConstantInteger) c).getBytes());
case Constants.CONSTANT_InterfaceMethodref:
case Constants.CONSTANT_Methodref:
case Constants.CONSTANT_Fieldref:
{
ConstantCP constantcpVar14 = constantcpLiteral15;
ConstantClass constantclassVar16 = constantclassLiteral17;
ConstantNameAndType constantnameandtypeVar9 = constantnameandtypeLiteral18;
ConstantUtf8 constantutf8Var5 = constantutf8Literal19;
String stringVar20 = stringLiteral21;
constantutf8Var5 = (ConstantUtf8) constantArrayVar1[constantnameandtypeVar9.getNameIndex()];
String stringVar22 = stringLiteral23;
constantutf8Var5 = (ConstantUtf8) constantArrayVar1[constantnameandtypeVar9.getSignatureIndex()];
String stringVar24 = stringLiteral23;
switch(c.getTag()) {
case Constants.CONSTANT_InterfaceMethodref:
return addInterfaceMethodref(stringVar20, stringVar22, stringVar24);
case Constants.CONSTANT_Methodref:
return addMethodref(stringVar20, stringVar22, stringVar24);
case Constants.CONSTANT_Fieldref:
return addFieldref(stringVar20, stringVar22, stringVar24);
default:
// Never reached
throw new RuntimeException(""Unknown constant type "" + c);
}
}
default:
// Never reached
throw new RuntimeException(""Unknown constant type "" + c);
}
}",0,False
"public static String codeToString(final ByteSequence bytes, final ConstantPool constant_pool, final boolean verbose) throws IOException {
short shortVar1 = shortLiteral2;
int intVar3 = intLiteral4;
int intVar5;
int intVar6;
int intVar7;
int intVar8;
int intVar9;
int intVar10;
int[] intArrayVar11;
int[] intArrayVar12;
int intVar13 = intLiteral4;
int intVar14;
StringBuilder stringbuilderVar15 = stringbuilderLiteral16;
if ((shortVar1 == Const.TABLESWITCH) || (shortVar1 == Const.LOOKUPSWITCH)) {
int intVar17 = intLiteral18;
intVar13 = (intVar17 == 0) ? 0 : 4 - intVar17;
for (int intVar26 = intLiteral27; intVar19 < intLiteral1; intVar19++) {
byte byteVar20;
if ((byteVar20 = bytes.readByte()) != 0) {
System.err.println(""Warning: Padding byte != 0 in "" + Const.getOpcodeName(shortVar1) + "":"" + byteVar20);
}
}
intVar3 = bytes.readInt();
}
switch(shortVar1) {
case Const.TABLESWITCH:
intVar5 = bytes.readInt();
intVar6 = bytes.readInt();
intVar14 = bytes.getIndex() - 12 - intVar13 - 1;
intVar3 += intVar14;
stringbuilderVar15.append(""\tdefault = "").append(intVar3).append("", low = "").append(intVar5).append("", high = "").append(intVar6).append(""("");
intArrayVar12 = new int[intVar6 - intVar5 + 1];
for (int intVar26 = intLiteral27; intVar19 < intLiteral2; intVar19++) {
intArrayVar12[intVar19] = intVar14 + bytes.readInt();
stringbuilderVar15.append(intArrayVar12[intVar19]);
if (intVar19 < intArrayVar12.length - 1) {
stringbuilderVar15.append("", "");
}
}
stringbuilderVar15.append("")"");
break;
case Const.LOOKUPSWITCH:
{
intVar7 = bytes.readInt();
intVar14 = bytes.getIndex() - 8 - intVar13 - 1;
intArrayVar11 = new int[intVar7];
intArrayVar12 = new int[intVar7];
intVar3 += intVar14;
stringbuilderVar15.append(""\tdefault = "").append(intVar3).append("", npairs = "").append(intVar7).append("" ("");
for (int intVar26 = intLiteral27; intVar19 < intLiteral3; intVar19++) {
intArrayVar11[intVar19] = bytes.readInt();
intArrayVar12[intVar19] = intVar14 + bytes.readInt();
stringbuilderVar15.append(""("").append(intArrayVar11[intVar19]).append("", "").append(intArrayVar12[intVar19]).append("")"");
if (intVar19 < intVar7 - 1) {
stringbuilderVar15.append("", "");
}
}
stringbuilderVar15.append("")"");
}
break;
case Const.GOTO:
case Const.IFEQ:
case Const.IFGE:
case Const.IFGT:
case Const.IFLE:
case Const.IFLT:
case Const.JSR:
case Const.IFNE:
case Const.IFNONNULL:
case Const.IFNULL:
case Const.IF_ACMPEQ:
case Const.IF_ACMPNE:
case Const.IF_ICMPEQ:
case Const.IF_ICMPGE:
case Const.IF_ICMPGT:
case Const.IF_ICMPLE:
case Const.IF_ICMPLT:
case Const.IF_ICMPNE:
stringbuilderVar15.append(""\t\t#"").append((bytes.getIndex() - 1) + bytes.readShort());
break;
case Const.GOTO_W:
case Const.JSR_W:
stringbuilderVar15.append(""\t\t#"").append((bytes.getIndex() - 1) + bytes.readInt());
break;
case Const.ALOAD:
case Const.ASTORE:
case Const.DLOAD:
case Const.DSTORE:
case Const.FLOAD:
case Const.FSTORE:
case Const.ILOAD:
case Const.ISTORE:
case Const.LLOAD:
case Const.LSTORE:
case Const.RET:
if (wide) {
intVar9 = bytes.readUnsignedShort();
wide = false;
} else {
intVar9 = bytes.readUnsignedByte();
}
stringbuilderVar15.append(""\t\t%"").append(intVar9);
break;
case Const.WIDE:
wide = true;
stringbuilderVar15.append(""\t(wide)"");
break;
case Const.NEWARRAY:
stringbuilderVar15.append(""\t\t<"").append(Const.getTypeName(bytes.readByte())).append("">"");
break;
case Const.GETFIELD:
case Const.GETSTATIC:
case Const.PUTFIELD:
case Const.PUTSTATIC:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t\t"").append(constant_pool.constantToString(intVar8, Const.CONSTANT_Fieldref)).append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.NEW:
case Const.CHECKCAST:
stringbuilderVar15.append(""\t"");
case Const.INSTANCEOF:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t<"").append(constant_pool.constantToString(intVar8, Const.CONSTANT_Class)).append("">"").append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.INVOKESPECIAL:
case Const.INVOKESTATIC:
intVar8 = bytes.readUnsignedShort();
Constant constantVar21 = constantLiteral22;
stringbuilderVar15.append(""\t"").append(constant_pool.constantToString(intVar8, constantVar21.getTag())).append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.INVOKEVIRTUAL:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t"").append(constant_pool.constantToString(intVar8, Const.CONSTANT_Methodref)).append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.INVOKEINTERFACE:
intVar8 = bytes.readUnsignedShort();
int intVar23 = intLiteral24;
stringbuilderVar15.append(""\t"").append(constant_pool.constantToString(intVar8, Const.CONSTANT_InterfaceMethodref)).append(verbose ? "" ("" + intVar8 + "")\t"" : """").append(intVar23).append(""\t"").append(bytes.readUnsignedByte());
break;
case Const.INVOKEDYNAMIC:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t"").append(constant_pool.constantToString(intVar8, Const.CONSTANT_InvokeDynamic)).append(verbose ? "" ("" + intVar8 + "")\t"" : """").append(bytes.readUnsignedByte()).append(bytes.readUnsignedByte());
break;
case Const.LDC_W:
case Const.LDC2_W:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t\t"").append(constant_pool.constantToString(intVar8, constant_pool.getConstant(intVar8).getTag())).append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.LDC:
intVar8 = bytes.readUnsignedByte();
stringbuilderVar15.append(""\t\t"").append(constant_pool.constantToString(intVar8, constant_pool.getConstant(intVar8).getTag())).append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.ANEWARRAY:
intVar8 = bytes.readUnsignedShort();
stringbuilderVar15.append(""\t\t<"").append(compactClassName(constant_pool.getConstantString(intVar8, Const.CONSTANT_Class), false)).append("">"").append(verbose ? "" ("" + intVar8 + "")"" : """");
break;
case Const.MULTIANEWARRAY:
{
intVar8 = bytes.readUnsignedShort();
int intVar25 = intLiteral24;
stringbuilderVar15.append(""\t<"").append(compactClassName(constant_pool.getConstantString(intVar8, Const.CONSTANT_Class), false)).append("">\t"").append(intVar25).append(verbose ? "" ("" + intVar8 + "")"" : """");
}
break;
case Const.IINC:
if (wide) {
intVar9 = bytes.readUnsignedShort();
intVar10 = bytes.readShort();
wide = false;
} else {
intVar9 = bytes.readUnsignedByte();
intVar10 = bytes.readByte();
}
stringbuilderVar15.append(""\t\t%"").append(intVar9).append(""\t"").append(intVar10);
break;
default:
if (Const.getNoOfOperands(shortVar1) > 0) {
for (int intVar26 = intLiteral27; intVar19 < intLiteral4; intVar19++) {
stringbuilderVar15.append(""\t\t"");
switch(Const.getOperandType(shortVar1, intVar19)) {
case Const.T_BYTE:
stringbuilderVar15.append(bytes.readByte());
break;
case Const.T_SHORT:
stringbuilderVar15.append(bytes.readShort());
break;
case Const.T_INT:
stringbuilderVar15.append(bytes.readInt());
break;
default:
// Never reached
System.err.println(""Unreachable default case reached!"");
System.exit(-1);
}
}
}
}
return stringbuilderVar15.toString();
}",1,False
public static final String[] stringArrayVar1 = stringArrayLiteral2;,1,False
public static final String[] stringArrayVar1 = stringArrayLiteral2;,1,False
public static final String[] stringArrayVar1 = stringArrayLiteral2;,1,False
"protected FieldOrMethod(DataInput file, ConstantPool constant_pool) throws IOException, ClassFormatException {
this(file.readUnsignedShort(), file.readUnsignedShort(), file.readUnsignedShort(), null, constant_pool);
int intVar1 = intLiteral2;
attributes = new Attribute[intVar1];
for (int intVar5 = intLiteral6; intVar3 < intLiteral1; intVar3++) {
attributes[intVar3] = Attribute.readAttribute(file, constant_pool);
}
this.attributes_count = intVar1;
}",0,False
"public int[] getBootstrapArguments() {
return bootstrap_arguments;
}",0,False
"public final void setAnnotationTable(AnnotationEntry[] annotation_table) {
this.annotation_table = annotation_table;
}",0,False
"public static Attribute readAttribute(DataInput file, ConstantPool constant_pool) throws IOException, ClassFormatException {
byte byteVar1 = byteLiteral2;
int intVar3 = intLiteral4;
ConstantUtf8 constantutf8Var5 = constantutf8Literal6;
String stringVar7 = stringLiteral8;
int intVar9 = intLiteral10;
for (byte byteVar15 = byteLiteral16; byteVar11 < intLiteral1; byteVar11++) {
if (stringVar7.equals(Const.getAttributeName(byteVar11))) {
byteVar1 = byteVar11;
break;
}
}
switch(byteVar1) {
case Const.ATTR_UNKNOWN:
Object objectVar13 = objectLiteral14;
if (objectVar13 instanceof UnknownAttributeReader) {
return ((UnknownAttributeReader) objectVar13).createAttribute(intVar3, intVar9, file, constant_pool);
}
return new Unknown(intVar3, intVar9, file, constant_pool);
case Const.ATTR_CONSTANT_VALUE:
return new ConstantValue(intVar3, intVar9, file, constant_pool);
case Const.ATTR_SOURCE_FILE:
return new SourceFile(intVar3, intVar9, file, constant_pool);
case Const.ATTR_CODE:
return new Code(intVar3, intVar9, file, constant_pool);
case Const.ATTR_EXCEPTIONS:
return new ExceptionTable(intVar3, intVar9, file, constant_pool);
case Const.ATTR_LINE_NUMBER_TABLE:
return new LineNumberTable(intVar3, intVar9, file, constant_pool);
case Const.ATTR_LOCAL_VARIABLE_TABLE:
return new LocalVariableTable(intVar3, intVar9, file, constant_pool);
case Const.ATTR_INNER_CLASSES:
return new InnerClasses(intVar3, intVar9, file, constant_pool);
case Const.ATTR_SYNTHETIC:
return new Synthetic(intVar3, intVar9, file, constant_pool);
case Const.ATTR_DEPRECATED:
return new Deprecated(intVar3, intVar9, file, constant_pool);
case Const.ATTR_PMG:
return new PMGClass(intVar3, intVar9, file, constant_pool);
case Const.ATTR_SIGNATURE:
return new Signature(intVar3, intVar9, file, constant_pool);
case Const.ATTR_STACK_MAP:
return new StackMap(intVar3, intVar9, file, constant_pool);
case Const.ATTR_RUNTIME_VISIBLE_ANNOTATIONS:
return new RuntimeVisibleAnnotations(intVar3, intVar9, file, constant_pool);
case Const.ATTR_RUNTIME_INVISIBLE_ANNOTATIONS:
return new RuntimeInvisibleAnnotations(intVar3, intVar9, file, constant_pool);
case Const.ATTR_RUNTIME_VISIBLE_PARAMETER_ANNOTATIONS:
return new RuntimeVisibleParameterAnnotations(intVar3, intVar9, file, constant_pool);
case Const.ATTR_RUNTIME_INVISIBLE_PARAMETER_ANNOTATIONS:
return new RuntimeInvisibleParameterAnnotations(intVar3, intVar9, file, constant_pool);
case Const.ATTR_ANNOTATION_DEFAULT:
return new AnnotationDefault(intVar3, intVar9, file, constant_pool);
case Const.ATTR_LOCAL_VARIABLE_TYPE_TABLE:
return new LocalVariableTypeTable(intVar3, intVar9, file, constant_pool);
case Const.ATTR_ENCLOSING_METHOD:
return new EnclosingMethod(intVar3, intVar9, file, constant_pool);
case Const.ATTR_STACK_MAP_TABLE:
return new StackMap(intVar3, intVar9, file, constant_pool);
case Const.ATTR_BOOTSTRAP_METHODS:
return new BootstrapMethods(intVar3, intVar9, file, constant_pool);
case Const.ATTR_METHOD_PARAMETERS:
return new MethodParameters(intVar3, intVar9, file, constant_pool);
default:
throw new IllegalStateException(""Unrecognized attribute type tag parsed: "" + byteVar1);
}
}",0,False
"public int[] getBootstrapArguments() {
return bootstrap_arguments;
}",0,False
"public final void setBootstrapMethods(BootstrapMethod[] bootstrap_methods) {
this.bootstrap_methods = bootstrap_methods;
}",0,False
"public BootstrapMethods(int name_index, int length, BootstrapMethod[] bootstrap_methods, ConstantPool constant_pool) {
super(Const.ATTR_BOOTSTRAP_METHODS, name_index, length, constant_pool);
this.bootstrap_methods = bootstrap_methods;
}",0,False
"public JavaClass parse() throws IOException, ClassFormatException {
ZipFile zipfileVar1 = zipfileLiteral2;
try {
if (fileOwned) {
if (is_zip) {
zipfileVar1 = new ZipFile(zip_file);
ZipEntry zipentryVar3 = zipentryLiteral4;
if (zipentryVar3 == null) {
throw new IOException(""File "" + file_name + "" not found"");
}
dataInputStream = new DataInputStream(new BufferedInputStream(zipfileVar1.getInputStream(zipentryVar3), BUFSIZE));
} else {
dataInputStream = new DataInputStream(new BufferedInputStream(new FileInputStream(file_name), BUFSIZE));
}
}
readID();
readVersion();
readConstantPool();
readClassInfo();
readInterfaces();
readFields();
readMethods();
readAttributes();
// System.err.println(""WARNING: "" + u[i]);
// System.err.println(""WARNING: Trailing garbage at end of "" + file_name);
// System.err.println(bytes + "" extra bytes: "" + Utility.toHexString(buf));
} finally {
if (fileOwned) {
try {
if (dataInputStream != null) {
dataInputStream.close();
}
if (zipfileVar1 != null) {
zipfileVar1.close();
}
} catch (IOException ioe) {
}
}
}
return new JavaClass(class_name_index, superclass_name_index, file_name, major, minor, access_flags, constant_pool, interfaces, fields, methods, attributes, is_zip ? JavaClass.ZIP : JavaClass.FILE);
}",0,False
"public String constantToString(Constant c) throws ClassFormatException {
String stringVar1;
int intVar2;
byte byteVar3 = byteLiteral4;
switch(byteVar3) {
case Const.CONSTANT_Class:
intVar2 = ((ConstantClass) c).getNameIndex();
c = getConstant(intVar2, Const.CONSTANT_Utf8);
stringVar1 = Utility.compactClassName(((ConstantUtf8) c).getBytes(), false);
break;
case Const.CONSTANT_String:
intVar2 = ((ConstantString) c).getStringIndex();
c = getConstant(intVar2, Const.CONSTANT_Utf8);
stringVar1 = ""\"""" + escape(((ConstantUtf8) c).getBytes()) + ""\"""";
break;
case Const.CONSTANT_Utf8:
stringVar1 = ((ConstantUtf8) c).getBytes();
break;
case Const.CONSTANT_Double:
stringVar1 = String.valueOf(((ConstantDouble) c).getBytes());
break;
case Const.CONSTANT_Float:
stringVar1 = String.valueOf(((ConstantFloat) c).getBytes());
break;
case Const.CONSTANT_Long:
stringVar1 = String.valueOf(((ConstantLong) c).getBytes());
break;
case Const.CONSTANT_Integer:
stringVar1 = String.valueOf(((ConstantInteger) c).getBytes());
break;
case Const.CONSTANT_NameAndType:
stringVar1 = constantToString(((ConstantNameAndType) c).getNameIndex(), Const.CONSTANT_Utf8) + "":"" + constantToString(((ConstantNameAndType) c).getSignatureIndex(), Const.CONSTANT_Utf8);
break;
case Const.CONSTANT_InterfaceMethodref:
case Const.CONSTANT_Methodref:
case Const.CONSTANT_Fieldref:
stringVar1 = constantToString(((ConstantCP) c).getClassIndex(), Const.CONSTANT_Class) + ""."" + constantToString(((ConstantCP) c).getNameAndTypeIndex(), Const.CONSTANT_NameAndType);
break;
case Const.CONSTANT_MethodHandle:
ConstantMethodHandle constantmethodhandleVar5 = constantmethodhandleLiteral6;
stringVar1 = Const.getMethodHandleName(constantmethodhandleVar5.getReferenceKind()) + "" "" + constantToString(constantmethodhandleVar5.getReferenceIndex(), getConstant(constantmethodhandleVar5.getReferenceIndex()).getTag());
break;
case Const.CONSTANT_MethodType:
ConstantMethodType constantmethodtypeVar7 = constantmethodtypeLiteral8;
stringVar1 = constantToString(constantmethodtypeVar7.getDescriptorIndex(), Const.CONSTANT_Utf8);
break;
case Const.CONSTANT_InvokeDynamic:
ConstantInvokeDynamic constantinvokedynamicVar9 = constantinvokedynamicLiteral10;
stringVar1 = constantinvokedynamicVar9.getBootstrapMethodAttrIndex() + "":"" + constantToString(constantinvokedynamicVar9.getNameAndTypeIndex(), Const.CONSTANT_NameAndType);
break;
default:
// Never reached
throw new RuntimeException(""Unknown constant type "" + byteVar3);
}
return stringVar1;
}",0,False
"public ConstantUtf8(String bytes) {
super(Const.CONSTANT_Utf8);
if (bytes == null) {
throw new IllegalArgumentException(""bytes must not be null!"");
}
this.bytes = bytes;
created++;
}",0,False
"public final int[] getExceptionIndexTable() {
return exception_index_table;
}",0,False
"public void setAttributes(Attribute[] attributes) {
this.attributes = attributes;
}",0,False
"public int[] getInterfaceIndices() {
return interfaces;
}",0,False
"public final LocalVariable[] getLocalVariableTable() {
return local_variable_table;
}",0,False
"public final ParameterAnnotationEntry[] getParameterAnnotationTable() {
return parameter_annotation_table;
}",0,False
"static Attribute[] getParameterAnnotationAttributes(ConstantPoolGen cp, List<AnnotationEntryGen>[] vec) {
int[] intArrayVar1 = intArrayLiteral2;
int intVar3 = intLiteral4;
int[] intArrayVar5 = intArrayLiteral2;
int intVar6 = intLiteral4;
try {
for (int intVar25 = intLiteral26; intVar7 < intLiteral1; intVar7++) {
if (vec[intVar7] != null) {
for (AnnotationEntryGen annotationentrygenVar8 : vec[intVar7]) {
if (annotationentrygenVar8.isRuntimeVisible()) {
intArrayVar1[intVar7]++;
intVar3++;
} else {
intArrayVar5[intVar7]++;
intVar6++;
}
}
}
}
ByteArrayOutputStream bytearrayoutputstreamVar9 = bytearrayoutputstreamLiteral10;
DataOutputStream dataoutputstreamVar11 = dataoutputstreamLiteral12;
dataoutputstreamVar11.writeByte(vec.length);
for (int intVar25 = intLiteral26; intVar7 < vec.length; intVar7++) {
dataoutputstreamVar11.writeShort(intArrayVar1[intVar7]);
if (intArrayVar1[intVar7] > 0) {
for (AnnotationEntryGen annotationentrygenVar8 : vec[intVar7]) {
if (annotationentrygenVar8.isRuntimeVisible()) {
annotationentrygenVar8.dump(dataoutputstreamVar11);
}
}
}
}
dataoutputstreamVar11.close();
ByteArrayOutputStream bytearrayoutputstreamVar13 = bytearrayoutputstreamLiteral10;
DataOutputStream dataoutputstreamVar14 = dataoutputstreamLiteral15;
dataoutputstreamVar14.writeByte(vec.length);
for (int intVar25 = intLiteral26; intVar7 < vec.length; intVar7++) {
dataoutputstreamVar14.writeShort(intArrayVar5[intVar7]);
if (intArrayVar5[intVar7] > 0) {
for (AnnotationEntryGen annotationentrygenVar8 : vec[intVar7]) {
if (!annotationentrygenVar8.isRuntimeVisible()) {
annotationentrygenVar8.dump(dataoutputstreamVar14);
}
}
}
}
dataoutputstreamVar14.close();
byte[] byteArrayVar16 = byteArrayLiteral17;
byte[] byteArrayVar18 = byteArrayLiteral19;
int intVar20 = intLiteral21;
int intVar22 = intLiteral21;
if (intVar3 > 0) {
intVar20 = cp.addUtf8(""RuntimeVisibleParameterAnnotations"");
}
if (intVar6 > 0) {
intVar22 = cp.addUtf8(""RuntimeInvisibleParameterAnnotations"");
}
List<Attribute> list<attribute>Var23 = list<attribute>Literal24;
if (intVar3 > 0) {
list<attribute>Var23.add(new RuntimeVisibleParameterAnnotations(intVar20, byteArrayVar16.length, new DataInputStream(new ByteArrayInputStream(byteArrayVar16)), cp.getConstantPool()));
}
if (intVar6 > 0) {
list<attribute>Var23.add(new RuntimeInvisibleParameterAnnotations(intVar22, byteArrayVar18.length, new DataInputStream(new ByteArrayInputStream(byteArrayVar18)), cp.getConstantPool()));
}
return list<attribute>Var23.toArray(new Attribute[list<attribute>Var23.size()]);
} catch (IOException e) {
System.err.println(""IOException whilst processing parameter annotations"");
e.printStackTrace();
}
return null;
}",0,False
"public INSTANCEOF createInstanceOf(ReferenceType t) {
if (t instanceof ArrayType) {
return new INSTANCEOF(cp.addArrayClass((ArrayType) t));
}
return new INSTANCEOF(cp.addClass((ObjectType) t));
}",0,False
